"year","month","n_pings","n_fishing","n_cells","frac","yearmonth"
2019,3,1368191,291763,2226,0.213247273224279,2019-03-01
2019,4,1291295,269093,2198,0.208390027065852,2019-04-01
2019,5,1398941,285597,2151,0.204152283763218,2019-05-01
2019,6,1260370,250284,1825,0.198579782127471,2019-06-01
2019,7,1315847,254545,1845,0.193445742552136,2019-07-01
2019,8,1436874,310445,2093,0.216055826746117,2019-08-01
2019,9,1259800,270881,2177,0.215019050642959,2019-09-01
2019,10,1402845,346520,2561,0.247012321389747,2019-10-01
2019,11,1302250,312459,2471,0.239937799961605,2019-11-01
2019,12,1277636,305674,2286,0.239249676746742,2019-12-01
2020,1,1381567,298911,1466,0.216356499540015,2020-01-01
2020,2,1176756,262180,1698,0.222798948974979,2020-02-01
2020,3,1192017,277582,1970,0.232867484272456,2020-03-01
2020,4,841772,202614,1639,0.24069938178034,2020-04-01
2020,5,1502816,332425,1745,0.221201397908992,2020-05-01
2020,6,1487376,297589,1371,0.200076510579705,2020-06-01
2020,7,1491840,299025,1374,0.200440395752896,2020-07-01
2020,8,1493479,298355,1454,0.199771807973195,2020-08-01
2020,9,1416028,277431,1517,0.195921973294313,2020-09-01
2020,10,1465812,314637,2199,0.214650309862383,2020-10-01
2020,11,1511508,340815,2212,0.22548011654586,2020-11-01
2020,12,1401930,307482,2014,0.219327641180373,2020-12-01
2021,1,1484239,302737,1461,0.203967824588897,2021-01-01
2021,2,1408178,305893,1834,0.217226089315413,2021-02-01
2021,3,1449469,303603,2034,0.209458084305356,2021-03-01
2021,4,1401672,266201,1785,0.189916756559309,2021-04-01
2021,5,1457552,266053,1609,0.18253413943379,2021-05-01
2021,6,1382801,257898,1488,0.186504059513986,2021-06-01
2021,7,1306196,234234,1257,0.179325307993594,2021-07-01
2021,8,1273650,236247,1561,0.185488163938288,2021-08-01
2021,9,1422298,271345,2185,0.190779288166052,2021-09-01
2021,10,1499963,317757,2255,0.211843225466228,2021-10-01
2021,11,1415073,314535,2211,0.222274751903259,2021-11-01
2021,12,1531072,328843,2135,0.214779579275175,2021-12-01
2022,1,651820,122508,1068,0.187947592893744,2022-01-01
2022,2,1129771,235294,1746,0.208266985079277,2022-02-01
2022,3,1478345,294243,2134,0.199035407837819,2022-03-01
2022,4,1403028,263237,2042,0.187620631947474,2022-04-01
2022,5,1481625,299160,1812,0.201913439635535,2022-05-01
2022,6,1368638,253548,1672,0.185255706768335,2022-06-01
2022,7,876635,134540,1572,0.153473224317989,2022-07-01
2022,8,93481,22334,2105,0.238914859704111,2022-08-01
2022,9,92957,24388,2218,0.262357864388911,2022-09-01
2022,10,70535,10955,1740,0.155312965194584,2022-10-01
2022,11,69034,9574,1593,0.138685285511487,2022-11-01
2022,12,67123,5853,1219,0.0871981288083071,2022-12-01
2023,1,57981,3740,1290,0.0645038892050844,2023-01-01
2023,2,102938,33248,2145,0.322990537993744,2023-02-01
2023,3,69834,11548,1895,0.16536357648137,2023-03-01
2023,4,69502,11124,1578,0.160052948116601,2023-04-01
2023,5,62878,8720,1460,0.138681255765132,2023-05-01
2023,6,63221,8897,1214,0.140728555385078,2023-06-01
2023,7,62952,8302,1486,0.131878256449358,2023-07-01
2023,8,107271,32844,2104,0.30617781133764,2023-08-01
2023,9,97920,26261,2094,0.268188316993464,2023-09-01
2023,10,70302,12115,1822,0.172327956530397,2023-10-01
2023,11,67743,8186,1429,0.120839053481541,2023-11-01
2023,12,59603,5021,1142,0.0842407261379461,2023-12-01
2024,1,71515,6938,1673,0.0970146123190939,2024-01-01
2024,2,112364,34083,2240,0.303326688263145,2024-02-01
2024,3,41643,9821,1578,0.235837955958985,2024-03-01
2024,4,7719,1767,574,0.228915662650602,2024-04-01
2024,5,10946,3127,711,0.285675132468482,2024-05-01
2024,6,8536,2444,641,0.286316776007498,2024-06-01
2024,7,10784,3079,784,0.285515578635015,2024-07-01
2024,8,15026,4518,1140,0.30067882337282,2024-08-01
2024,9,45535,21635,1550,0.475129021631712,2024-09-01
2024,10,30464,11835,1578,0.388491334033613,2024-10-01
2024,11,10609,2126,912,0.200395890281836,2024-11-01
2024,12,11842,2569,986,0.216939706130721,2024-12-01
2025,1,94759,3925,1062,0.0414208676748383,2025-01-01
2025,2,167151,37354,2083,0.223474582862202,2025-02-01
2025,3,175316,15196,2035,0.0866777704259737,2025-03-01
2025,4,61706,2921,843,0.0473373739992869,2025-04-01
2025,7,960,37,136,0.0385416666666667,2025-07-01
2025,8,56863,8699,1696,0.152981728012943,2025-08-01
2025,9,105864,36543,2142,0.345188165948764,2025-09-01
2025,10,84687,17463,1968,0.206206383506323,2025-10-01
2025,11,64905,12491,1754,0.192450504583622,2025-11-01
2025,12,64931,4635,1548,0.0713834686051347,2025-12-01
2026,1,62046,5123,1204,0.0825677722979725,2026-01-01
2026,2,156865,56715,2156,0.361552927676665,2026-02-01
2026,3,58767,13213,1778,0.224837068422754,2026-03-01
